audit;supplier;test_name;purpose;description;actions;nist800-53_ref;risk_level;authors
repo;checkpoint-fwcli;global_rulelog_set.checkpoint-fwcli.gawk;check that <rule log> is set globally;rules without logging prevent detection of security incidents and make forensic analysis impossible;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);au-12 | audit and accountability | ensure audit record generation is enabled;medium;cedric llorens
repo;checkpoint-fwcli;global_snmpv1v2forbidcommunity_notset.checkpoint-fwcli.gawk;check that <snmp v1v2 forbidden communities> are not set;well-known or forbidden snmp community strings expose the device to unauthorized monitoring and potential information disclosure;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ac-3 | access control | ensure access enforcement is configured;high;maxime souris
repo;checkpoint-fwcli;global_snmpv1v2rw_notset.checkpoint-fwcli.gawk;check that <snmp v1v2 write> is not set;snmp v1/v2 write communities allow unauthorized modification of device configuration and represent a critical security risk;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;maxime souris
repo;checkpoint-fwcli;global_statefulrules_set.checkpoint-fwcli.gawk;check that <config stateful rules> is set;missing stateful inspection rules for established/related and invalid connection states may allow unauthorized traffic and connection hijacking attacks;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high | medium;quentin gavilan
repo;checkpoint-fwcli;global_vardefref_set.checkpoint-fwcli.gawk;check vars def not ref and ref not def;undefined variable references or unused variable definitions indicate configuration inconsistencies that may lead to unexpected security policy behavior;missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);cm-6 | configuration management | ensure configuration settings are established and enforced;high | info;pierre bertrand
repo;cisco-cedge;aaa_config_set.cisco-cedge.gawk;check if <aaa config> is set;partial aaa configuration setup could endanger device security (authentication, authorization, and accounting must be configured);missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ia-2 | identification and authentication | ensure unique identification and authentication of organizational users is configured;high;cedric llorens
repo;cisco-cedge;aaa_user_notset.cisco-cedge.gawk;check if <aaa users> are not set locally;local users can endanger the security of the system by allowing unauthorized access;remove local users or setup exceptions (please refer to engineering/operations guidelines for further information);ia-2 | identification and authentication | ensure unique identification and authentication of organizational users is configured;high;cedric llorens
repo;cisco-cedge;acl_configconsistency_set.cisco-cedge.gawk;check if <acl rules> are consistent;inconsistent or redundant acl rules can lead to security vulnerabilities;remove inconsistent or redundant rules (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;info;cedric llorens
repo;cisco-cedge;acl_defref_set.cisco-cedge.gawk;check if <acl> definitions are referenced;unreferenced acls can lead to security vulnerabilities;remove unreferenced acls or reference them (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high | info;cedric llorens
repo;cisco-cedge;fw_zonesecurity_set.cisco-cedge.gawk;check if a <fw zone> is set;missing firewall zone security configuration may allow unrestricted traffic between network zones;configure zone-based firewall with appropriate zone-pairs and policies (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;global_banner_set.cisco-cedge.gawk;check if <banner motd/login/exec> are set;banners can be used to display important information to users;set banners (please refer to engineering/operations guidelines for further information);ac-8 | access control | ensure system use notification banner is configured;high;cedric llorens
repo;cisco-cedge;global_enablepassword_notset.cisco-cedge.gawk;check if <enable password> is not set;enable password can be used to gain privileged access to the device;set enable password (please refer to engineering/operations guidelines for further information);ia-5 | identification and authentication | ensure authenticator management is configured;high;cedric llorens
repo;cisco-cedge;global_http_notset.cisco-cedge.gawk;check if <http statement> is not set;http statement can be used to gain privileged access to the device;set http statement (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;global_logging_set.cisco-cedge.gawk;check if <logging host> is set for centralized logging;logging can be used to track system events and potential security incidents;set logging host (please refer to engineering/operations guidelines for further information);au-12 | audit and accountability | ensure audit record generation is enabled;medium;cedric llorens
repo;cisco-cedge;global_nocdprun_set.cisco-cedge.gawk;check if <no cdp run> is set and <cdp run> is not set;cdp can be used to gain unauthorized access to the device or reveal sensitive information;set <no cdp run> or remove <cdp run> (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-cedge;global_noipbootpserver_set.cisco-cedge.gawk;check if <no ip bootp server> is set and <ip bootp server> is not set;ip bootp server can be used to gain unauthorized access to the device or trigger attacks;set <no ip bootp server> or remove <ip bootp server> (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;global_noipfinger_set.cisco-cedge.gawk;check if <no ip finger> is set and <ip finger> is not set;ip finger can be used to gain unauthorized access to the device or reveal sensitive information;set <no ip finger> or remove <ip finger> (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-cedge;global_noipsourceroute_set.cisco-cedge.gawk;check if <no ip source-route> is set and <ip source-route> is not set;ip source-route can be used to trigger attacks or can be used for unusual routing paths;set <no ip source-route> or remove <ip source-route> (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-cedge;global_rcmd_notset.cisco-cedge.gawk;check if <rcmd> is not set;rcmd can be used to gain unauthorized access to the device;set <no rcmd> or remove <rcmd> (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;int_cdpenable_notset.cisco-cedge.gawk;check if an interface has no <cdp enable>;cdp may disclose sensitive information or trigger vulnerabilities;set <no cdp enable> on interfaces (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-cedge;int_directedbroadcast_notset.cisco-cedge.gawk;check if an interface has no <ip directed-broadcast>;ip directed-broadcast may trigger attacks;set <no ip directed-broadcast> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;int_ipredirects_notset.cisco-cedge.gawk;check if an interface has no <ip redirects>;ip redirects may trigger attacks;set <no ip redirects> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;int_ipunreachables_notset.cisco-cedge.gawk;check if an interface has no <ip unreachables>;ip unreachables may trigger attacks;set <no ip unreachables> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;int_proxyarp_notset.cisco-cedge.gawk;check if an interface has no <ip proxy-arp>;ip proxy-arp may trigger attacks;set <no ip proxy-arp> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;ipsec_oldercryptoalg_notset.cisco-cedge.gawk;check if older crypto algorithms are not set;older crypto algorithms (md5, 3des, sha1, rc4, tlsv1) are weak and may expose ipsec tunnels to cryptographic attacks;replace older crypto algorithms with stronger ones (please refer to engineering/operations guidelines for further information);sc-13 | system and communications protection | ensure cryptographic protection using approved algorithms is configured;high;cedric llorens
repo;cisco-cedge;linevty_transportinputssh_set.cisco-cedge.gawk;check if a line vty has <transport input ssh>;vty without restricting transport input to ssh or none allows insecure protocols (telnet) for remote management;set <transport input ssh> or <transport input none> on line vty (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;cisco-cedge;linevty_transportoutputssh_set.cisco-cedge.gawk;check if a line vty has <transport output ssh>;vty without restricting transport output to ssh or none allows insecure protocols for outbound connections;set <transport output ssh> or <transport output none> on line vty (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;cisco-cedge;ntp_accessgroup_set.cisco-cedge.gawk;check if <ntp access-group> is set;ntp without access-group restriction can allow unauthorized ntp synchronization requests to or from any host;set <ntp access-group> with appropriate acl to restrict ntp access (please refer to engineering/operations guidelines for further information);au-8(1) | audit and accountability | ensure time synchronization with authoritative source is configured;high;cedric llorens
repo;cisco-cedge;ntp_ip_set.cisco-cedge.gawk;check if <ntp server> is set;missing ntp server configuration can lead to time synchronization issues affecting log correlation and security auditing;set <ntp server> with a trusted ntp source (please refer to engineering/operations guidelines for further information);au-8(1) | audit and accountability | ensure time synchronization with authoritative source is configured;high;cedric llorens
repo;cisco-cedge;routing_defref_set.cisco-cedge.gawk;check if <routing> definitions are referenced and references are defined;route-maps or prefix-lists defined but not referenced (or vice versa) indicate dead configuration and potential routing inconsistencies;remove unused route-maps and prefix-lists or fix missing references (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high | info;cedric llorens
repo;cisco-cedge;snmp_v1v2forbidcommunity_notset.cisco-cedge.gawk;check if <snmp v1v2 forbidden communities> are not set;default or trivial snmp community strings (public, private) can be easily guessed and allow unauthorized device access;remove forbidden community strings and replace with non-trivial values or migrate to snmp v3 (please refer to engineering/operations guidelines for further information);ac-3 | access control | ensure access enforcement is configured;high;cedric llorens
repo;cisco-cedge;snmp_v1v2_notset.cisco-cedge.gawk;check if <snmp v1v2> is not set;snmp v1 and v2c use clear-text community strings and lack strong authentication and encryption;disable snmp v1/v2c community strings and migrate to snmp v3 (please refer to engineering/operations guidelines for further information);ac-3 | access control | ensure access enforcement is configured;high;cedric llorens
repo;cisco-cedge;snmp_v1v2rw_notset.cisco-cedge.gawk;check if <snmp v1v2 rw> is not set;snmp v1/v2c read-write community string allows unauthorized configuration changes to the device;remove rw community strings and use read-only community or migrate to snmp v3 (please refer to engineering/operations guidelines for further information);ac-3 | access control | ensure access enforcement is configured;high;cedric llorens
repo;cisco-cedge;snmp_v3groupdefref_set.cisco-cedge.gawk;check if <snmp v3 group> definitions are referenced and references are defined;snmp v3 groups defined but not referenced by users (or vice versa) indicate configuration inconsistencies;ensure all snmp v3 group definitions are used by a user and all user group references have a matching group definition (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high | low;cedric llorens
repo;cisco-cedge;snmp_v3host_set.cisco-cedge.gawk;check if <snmp v3 host> is set;missing snmp v3 trap host configuration means security events and traps may not be forwarded to the monitoring system;set <snmp-server host> with snmp v3 credentials pointing to the monitoring trap receiver (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-cedge;snmp_v3user_set.cisco-cedge.gawk;check if <snmp v3 user> is set;missing snmp v3 user with auth and priv means snmp v3 authentication and encryption are not properly configured;set <snmp-server user> with proper auth and priv settings (please refer to engineering/operations guidelines for further information);ia-2 | identification and authentication | ensure unique identification and authentication of organizational users is configured;high;cedric llorens
repo;cisco-cedge;snmp_viewdefref_set.cisco-cedge.gawk;check if <snmp view> definitions are referenced and references are defined;snmp views defined but not referenced in groups (or vice versa) indicate configuration inconsistencies;ensure all snmp view definitions are used in a group and all group view references have a matching view definition (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high | info;cedric llorens
repo;cisco-cedge;ssh_setup_set.cisco-cedge.gawk;check if <ssh server> is set;missing ssh server configuration means secure remote management is not available and the device may fall back to insecure protocols;configure ssh server parameters (version, timeout, authentication retries) (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;cisco-cedge;ssh_versionv1_notset.cisco-cedge.gawk;check if <ssh version 1> is not set;ssh version 1 has known cryptographic vulnerabilities and must not be used for remote management;set <ip ssh version 2> to enforce ssh version 2 only (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;cisco-ios;aaa_config_set.cisco-ios.gawk;check if <aaa config> is set;partial aaa configuration setup could endanger device security (authentication, authorization, and accounting must be configured);missing statements should be added to the configuration or setup exceptions (please refer to engineering/operations guidelines for further information);ia-2 | identification and authentication | ensure unique identification and authentication of organizational users is configured;high;cedric llorens
repo;cisco-ios;aaa_user_notset.cisco-ios.gawk;check if <aaa users> are not set locally;local users can endanger the security of the system by allowing unauthorized access;remove local users or setup exceptions (please refer to engineering/operations guidelines for further information);ia-2 | identification and authentication | ensure unique identification and authentication of organizational users is configured;high;cedric llorens
repo;cisco-ios;acl_configconsistency_set.cisco-ios.gawk;check if <acl rules> are consistent;inconsistent or redundant acl rules can lead to security vulnerabilities;remove inconsistent or redundant rules (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;info;cedric llorens
repo;cisco-ios;acl_defref_set.cisco-ios.gawk;check if <acl> definitions are referenced;unreferenced acls can lead to security vulnerabilities;remove unreferenced acls or reference them (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high | info;cedric llorens
repo;cisco-ios;global_banner_set.cisco-ios.gawk;check if <banner motd/login/exec> are set;banners can be used to display important information to users;set banners (please refer to engineering/operations guidelines for further information);ac-8 | access control | ensure system use notification banner is configured;high;cedric llorens
repo;cisco-ios;global_enablepassword_notset.cisco-ios.gawk;check if <enable password> is not set;enable password can be used to gain privileged access to the device;set enable password (please refer to engineering/operations guidelines for further information);ia-5 | identification and authentication | ensure authenticator management is configured;high;cedric llorens
repo;cisco-ios;global_http_notset.cisco-ios.gawk;check if <http statement> is not set;http statement can be used to gain privileged access to the device;set http statement (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;global_logging_set.cisco-ios.gawk;check if <logging host> is set for centralized logging;logging can be used to track system events and potential security incidents;set logging host (please refer to engineering/operations guidelines for further information);au-12 | audit and accountability | ensure audit record generation is enabled;medium;cedric llorens
repo;cisco-ios;global_nocdprun_set.cisco-ios.gawk;check if <no cdp run> is set and <cdp run> is not set;cdp can be used to gain unauthorized access to the device or reveal sensitive information;set <no cdp run> or remove <cdp run> (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-ios;global_noipbootpserver_set.cisco-ios.gawk;check if <no ip bootp server> is set and <ip bootp server> is not set;ip bootp server can be used to gain unauthorized access to the device or trigger attacks;set <no ip bootp server> or remove <ip bootp server> (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;global_noipfinger_set.cisco-ios.gawk;check if <no ip finger> is set and <ip finger> is not set;ip finger can be used to gain unauthorized access to the device or reveal sensitive information;set <no ip finger> or remove <ip finger> (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-ios;global_noipsourceroute_set.cisco-ios.gawk;check if <no ip source-route> is set and <ip source-route> is not set;ip source-route can be used to trigger attacks or can be used for unusual routing paths;set <no ip source-route> or remove <ip source-route> (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-ios;global_rcmd_notset.cisco-ios.gawk;check if <rcmd> is not set;rcmd can be used to gain unauthorized access to the device;set <no rcmd> or remove <rcmd> (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;global_servicepassword_set.cisco-ios.gawk;check if <service password-encryption> is set;service password encryption must be used to encrypt passwords in the configuration file;set <service password-encryption> or remove it (please refer to engineering/operations guidelines for further information);sc-13 | system and communications protection | ensure cryptographic protection using approved algorithms is configured;high;cedric llorens
repo;cisco-ios;global_timestamps_set.cisco-ios.gawk;check if <service timestamps log datetime> is set;without timestamp configuration, log entries lack date and time information, making security incident correlation and forensic analysis unreliable;set <service timestamps log datetime msec> and <service timestamps debug datetime msec> (please refer to engineering/operations guidelines for further information);au-12 | audit and accountability | ensure audit record generation is enabled;medium;cedric llorens
repo;cisco-ios;int_cdpenable_notset.cisco-ios.gawk;check if an interface has no <cdp enable>;cdp may disclose sensitive information or trigger vulnerabilities;set <no cdp enable> on interfaces (please refer to engineering/operations guidelines for further information);sc-7 | system and communications protection | ensure boundary protection is configured;high;cedric llorens
repo;cisco-ios;int_directedbroadcast_notset.cisco-ios.gawk;check if an interface has no <ip directed-broadcast>;ip directed-broadcast may trigger attacks;set <no ip directed-broadcast> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;int_ipredirects_notset.cisco-ios.gawk;check if an interface has no <ip redirects>;ip redirects may trigger attacks;set <no ip redirects> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;int_ipunreachables_notset.cisco-ios.gawk;check if an interface has no <ip unreachables>;ip unreachables may trigger attacks;set <no ip unreachables> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;int_proxyarp_notset.cisco-ios.gawk;check if an interface has no <ip proxy-arp>;ip proxy-arp may trigger attacks;set <no ip proxy-arp> on interfaces (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;ipsec_oldercryptoalg_notset.cisco-ios.gawk;check if older crypto algorithms are not set;older crypto algorithms (md5, 3des, sha1, rc4, tlsv1) are weak and may expose ipsec tunnels to cryptographic attacks;replace older crypto algorithms with stronger ones (please refer to engineering/operations guidelines for further information);sc-13 | system and communications protection | ensure cryptographic protection using approved algorithms is configured;high;cedric llorens
repo;cisco-ios;lineaux_aclin_set.cisco-ios.gawk;check if a line aux has <access-class xx in>;line aux without inbound acl can allow unauthorized management access to the device;set <access-class xx in> on line aux (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;lineaux_aclout_set.cisco-ios.gawk;check if a line aux has <access-class xx out>;line aux without outbound acl can allow unauthorized outgoing management connections from the device;set <access-class xx out> on line aux (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;lineaux_exectimeout00_notset.cisco-ios.gawk;check if a line aux has no <exec-timeout 0 0>;exec-timeout 0 0 disables session timeout and can leave an unattended session active indefinitely;set a proper exec-timeout value on line aux and remove <exec-timeout 0 0> (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;lineaux_noexec_set.cisco-ios.gawk;check if a line aux has <no exec>;line aux without <no exec> can allow unauthorized console-like access if the aux port is connected;set <no exec> on line aux to prevent exec sessions (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;linevty_aclin_set.cisco-ios.gawk;check if a line vty has <access-class xx in>;line vty without inbound acl can allow unauthorized remote management access from any source;set <access-class xx in> on line vty (please refer to engineering/operations guidelines for further information);ac-17 | access control | ensure remote access is controlled and monitored;high;cedric llorens
repo;cisco-ios;linevty_aclout_set.cisco-ios.gawk;check if a line vty has <access-class xx out>;line vty without outbound acl can allow unauthorized outgoing remote management connections from the device;set <access-class xx out> on line vty (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;linevty_exectimeout00_notset.cisco-ios.gawk;check if a line vty has no <exec-timeout 0 0>;exec-timeout 0 0 disables session timeout and can leave an unattended vty session active indefinitely;set a proper exec-timeout value on line vty and remove <exec-timeout 0 0> (please refer to engineering/operations guidelines for further information);si-2 | system and information integrity | ensure flaw remediation and patching is configured;high;cedric llorens
repo;cisco-ios;linevty_sshinput_set.cisco-ios.gawk;check if a line vty has <transport input (none|ssh)>;vty without restricting transport input to ssh or none allows insecure protocols (telnet) for remote management;set <transport input ssh> or <transport input none> on line vty (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;cisco-ios;linevty_sshoutput_set.cisco-ios.gawk;check if a line vty has <transport output (none|ssh)>;vty without restricting transport output to ssh or none allows insecure protocols for outbound connections;set <transport output ssh> or <transport output none> on line vty (please refer to engineering/operations guidelines for further information);ac-17(1) | access control | ensure monitoring and control of remote access is automated;high;cedric llorens
repo;cisco-ios;ntp_accessgroup_set.cisco-ios.gawk;check if <ntp access-group> is set;ntp without access-group restriction can allow unauthorized ntp synchronization requests to or from any host;set <ntp access-group> with appropriate acl to restrict ntp access (please refer to engineering/operations guidelines for further information);au-8(1) | audit and accountability | ensure time synchronization with authoritative source is configured;high;cedric llorens
repo;cisco-ios;ntp_ip_set.cisco-ios.gawk;check if <ntp server> is set;missing ntp server configuration can lead to time synchronization issues affecting log correlation and security auditing;set <ntp server> with a trusted ntp source (please refer to engineering/operations guidelines for further information);au-8(1) | audit and accountability | ensure time synchronization with authoritative source is configured;high;cedric llorens
